Cadet PID,Year,Squadron,Major,Sec Major,Sport Code,Sport Gender
34584,2022,28,AstroEngr,No Major,,
34585,2022,4,FAS-PolSci,No Major,TN,M
33187,2021,23,AstroEngr,No Major,,
36702,2023,20,No Major,No Major,FB,M
33188,2021,11,Management,No Major,FB,M
31712,2020,1,Management,No Major,,
35918,2023,30,No Major,No Major,,
32172,2020,6,FAS-PolSci,PolSci,,
34231,2021,40,HistoryInt,No Major,,
34392,2021,17,History,No Major,FB,M
34586,2023,1,No Major,No Major,,
34587,2022,1,HistoryMil,No Major,,
35626,2022,31,FAS-Hist,No Major,FB,M
33189,2021,4,GeoSci,No Major,WR,M
35919,2023,13,No Major,No Major,TN,F
34588,2022,6,HistoryMil,No Major,,
33190,2021,28,AstroEngr,No Major,,
34589,2022,19,GeoSci,No Major,,
33801,2021,33,FAS-PolSci,No Major,,
34590,2022,19,AeroEngr,No Major,,
34591,2022,29,AeroEngr,No Major,,
31713,2020,34,AeroEngr,No Major,,
35920,2023,2,No Major,No Major,,
34594,2022,39,AstroEngr,No Major,,
33192,2021,14,CompSci,CyberSci,,
33193,2021,31,Management,No Major,,
36578,2023,31,No Major,No Major,,
32173,2020,2,MathApp,No Major,,
32499,2020,5,PolSci,No Major,,
31714,2020,18,Management,No Major,,
31715,2020,21,BehSci,No Major,,
37190,2020,16,No Major,No Major,,
35921,2023,12,No Major,No Major,,
32933,2020,4,Management,No Major,,
33194,2021,6,AeroEngr,No Major,FN,F
36579,2023,17,No Major,No Major,,
32174,2020,11,AstroEngr,No Major,,
36703,2023,40,No Major,No Major,BA,M
34595,2022,34,No Major,No Major,,
35922,2023,33,No Major,No Major,SO,F
36948,2023,1,No Major,No Major,SO,M
35924,2023,32,No Major,No Major,,
35925,2023,11,No Major,No Major,,
36949,2023,24,No Major,No Major,,
36950,2023,34,No Major,No Major,FB,M
33196,2021,4,GeoSci,No Major,,
34232,2021,1,CivEngr,No Major,,
36951,2023,5,No Major,No Major,BB,F
33197,2021,14,AeroEngr,No Major,,
33198,2021,24,Biology,No Major,,
35926,2023,32,No Major,No Major,,
32372,2020,21,LegalStu,No Major,,
32006,2020,11,AstroEngr,No Major,,
34597,2022,5,No Major,No Major,,
32532,2020,37,Management,No Major,,
32727,2020,17,SysEngr,No Major,,
33199,2021,34,MechEngr,No Major,,
33200,2021,11,MSS,No Major,,
31716,2020,20,MSS,No Major,,
32728,2020,1,BachSci,No Major,,
35628,2022,29,No Major,No Major,,
34598,2022,11,FAS-PolSci,No Major,,
35629,2022,35,No Major,No Major,,
33201,2021,21,Economics,FAS-PolSci,,
33202,2021,5,AeroEngr,No Major,,
32533,2020,31,SysEngr,No Major,SO,F
35927,2023,13,No Major,No Major,TR,M
32500,2020,13,CompSci,No Major,,
31718,2020,40,AeroEngr,No Major,,
35236,2022,31,FAS-PolSci,No Major,,
32007,2020,29,PolSci,No Major,,
35928,2023,10,No Major,No Major,TR,M
32374,2020,7,Management,No Major,FB,M
36952,2023,11,No Major,No Major,FB,M
36580,2023,2,No Major,No Major,,
34511,2022,39,FAS-PolSci,No Major,,
32729,2020,23,SysEngr,No Major,SO,F
35929,2023,3,No Major,No Major,GY,F
34512,2022,15,No Major,No Major,WR,M
32008,2020,12,LegalStu,No Major,,
35930,2023,13,No Major,No Major,,
32730,2020,37,SysEngr,No Major,,
35630,2022,2,No Major,No Major,,
35631,2022,12,No Major,No Major,FB,M
35931,2023,35,No Major,No Major,,
36788,2023,13,No Major,No Major,FB,M
34513,2022,2,No Major,No Major,,
34371,2021,12,Management,No Major,FB,M
32009,2020,22,Meteor,No Major,,
34515,2022,11,ElCompEngr,No Major,,
31719,2020,32,OpsRsch,No Major,TR,F
36953,2023,15,No Major,No Major,,
33130,2021,23,Management,No Major,,
33131,2021,35,OpsRsch,No Major,BA,M
35932,2023,25,No Major,No Major,,
34516,2022,10,No Major,No Major,,
34517,2022,3,PolSci,No Major,WR,M
34518,2022,24,No Major,No Major,TR,M
31720,2020,21,Management,No Major,SO,M
31721,2020,2,Management,No Major,SO,M
33132,2021,28,AstroEngr,No Major,,
35238,2022,13,ElCompEngr,No Major,,
35933,2023,23,No Major,No Major,GY,F
34519,2022,14,CompSci,No Major,,
32614,2022,7,SysEngr,No Major,,
33134,2021,15,Management,No Major,,
31722,2020,23,Management,No Major,,
33135,2021,40,SysEngr,No Major,,
32010,2020,1,Management,No Major,FB,M
35935,2023,33,No Major,No Major,,
36582,2023,4,No Major,No Major,,
34155,2021,2,Economics,No Major,FB,M
32175,2020,15,Management,No Major,,
35936,2023,14,No Major,No Major,,
35937,2023,32,No Major,No Major,GY,F
34233,2021,21,Management,No Major,,
32375,2020,3,Management,No Major,,
32011,2020,38,MechEngr,No Major,,
37171,2021,33,No Major,No Major,,
35938,2023,13,No Major,No Major,,
32012,2020,13,OpsRsch,No Major,,
33136,2021,24,GeoSci,No Major,,
31723,2020,4,BehSci,Philosophy,,
33139,2021,13,CivEngr,No Major,,
34520,2022,35,MSS,No Major,,
33140,2021,10,SysEngr,No Major,,
35307,2022,13,FAS-PolSci,No Major,FB,M
34036,2021,25,OpsRsch,No Major,TR,F
32013,2020,33,Economics,No Major,,
33141,2021,5,MechEngr,No Major,,
31724,2020,19,OpsRsch,No Major,,
32615,2020,16,PolSci,FAS-PolSci,,
33142,2021,14,Management,No Major,,
34521,2022,6,MechEngr,No Major,,
32671,2020,15,BehSci,No Major,,
34522,2022,7,No Major,No Major,,
35633,2022,26,SpaceOps,No Major,SW,M
33144,2021,10,HistoryMil,No Major,,
34523,2022,37,No Major,No Major,,
33145,2021,35,PolSci,FAS-PolSci,,
32014,2022,31,FAS-PolSci,No Major,,
35939,2023,21,No Major,No Major,SO,M
34524,2022,22,No Major,No Major,,
35634,2022,2,Biology,No Major,,
32376,2020,40,PolSci,No Major,,
34234,2021,8,Management,No Major,,
33146,2021,12,MechEngr,No Major,,
35635,2022,16,No Major,No Major,,
36954,2023,23,No Major,No Major,FB,M
35940,2023,5,No Major,No Major,,
34411,2021,38,Management,No Major,IH,M
32732,2020,22,Management,No Major,,
33148,2021,8,AeroEngr,No Major,TR,M
33295,2021,26,FAS-MSS,No Major,,
31725,2020,28,Philosophy,No Major,,
34525,2022,8,CompSci,No Major,,
36704,2023,23,No Major,No Major,TR,M
32733,2020,4,GeoSci,No Major,,
35941,2023,15,No Major,No Major,,
32734,2020,29,Economics,No Major,TR,M
32377,2020,18,FAS-Hist,Humanities,,
33296,2021,6,Biology,No Major,,
34527,2022,18,No Major,No Major,,
31726,2020,14,Biology,No Major,TR,F
34528,2022,20,GeoSci,No Major,,
32616,2020,24,Management,No Major,,
35942,2023,35,No Major,No Major,,
33297,2021,36,Economics,No Major,,
35309,2022,28,CivEngr,No Major,,
36584,2023,25,No Major,No Major,,
35943,2023,6,No Major,No Major,,
34235,2021,31,BehSci,No Major,,
36585,2023,34,No Major,No Major,,
33298,2021,27,MSS,No Major,,
33299,2021,28,BehSci,No Major,,
36955,2023,21,No Major,No Major,,
36956,2023,31,No Major,No Major,,
29731,2018,11,Management,No Major,,
32501,2020,22,BehSci,No Major,,
36957,2023,2,No Major,No Major,,
33300,2021,30,CivEngr,No Major,,
34529,2022,6,No Major,No Major,,
35944,2023,22,No Major,No Major,WP,M
34530,2022,38,AeroEngr,No Major,,
35340,2022,11,OpsRsch,No Major,,
35945,2023,26,No Major,No Major,,
37075,2023,33,No Major,No Major,IH,M
33301,2021,38,Management,No Major,,
35753,2022,19,OpsRsch,No Major,BA,M
36586,2023,36,No Major,No Major,,
34531,2022,36,SysEngr,No Major,WR,M
31727,2020,33,Economics,No Major,,
33302,2021,35,Management,No Major,,
35310,2022,7,HistoryMil,No Major,,
34532,2022,40,No Major,No Major,GY,F
31728,2020,35,Management,No Major,,
35637,2022,24,No Major,No Major,FB,M
34533,2022,29,AeroEngr,MathApp,,
32176,2020,34,SysEngr,No Major,,
35946,2023,5,No Major,No Major,,
32015,2020,17,MSS,No Major,,
31134,2021,20,FAS-MSS,No Major,,
34534,2022,39,CivEngr,No Major,,
33304,2021,13,Management,No Major,,
34535,2022,30,MechEngr,No Major,,
32017,2020,14,FAS-Hist,No Major,,
33305,2021,19,CompSci,No Major,TR,M
32018,2020,15,AeroEngr,No Major,,
34536,2022,7,FAS-PolSci,No Major,,
33306,2021,11,LegalStu,Humanities,,
36587,2023,7,No Major,No Major,,
31729,2020,37,Management,No Major,,
33307,2021,6,CompSci,CyberSci,,
35311,2022,2,CompSci,No Major,,
31730,2020,25,PolSci,No Major,BA,M
35947,2023,17,No Major,No Major,,
32736,2020,20,Management,No Major,TR,M
32737,2020,36,Biology,No Major,,
33308,2021,25,English,No Major,,
33309,2021,17,Management,No Major,,
35948,2023,23,No Major,No Major,CL,M
32502,2020,11,Physics,No Major,,
35949,2023,12,MSS,No Major,,
31731,2020,39,SysEngr,No Major,BB,M
35950,2023,27,No Major,No Major,,
36588,2023,15,No Major,No Major,SW,F
35639,2022,3,CivEngr,No Major,BB,F
36958,2023,35,No Major,No Major,,
34537,2022,16,Biology,No Major,TR,M
33310,2021,7,OpsRsch,No Major,,
33311,2021,5,MechEngr,No Major,,
36959,2023,22,No Major,No Major,TR,M
34237,2021,36,CivEngr,No Major,,
34538,2022,5,Chemistry,No Major,,
32738,2020,11,SysEngr,No Major,,
35951,2023,4,No Major,No Major,LX,M
33312,2021,16,SysEngr,No Major,GY,F
33313,2021,32,Management,No Major,,
35312,2022,12,CompSci,No Major,,
34539,2022,2,No Major,No Major,,
35952,2023,25,No Major,No Major,,
32177,2020,5,LegalStu,No Major,,
33314,2021,24,Management,No Major,,
32019,2020,15,FAS-PolSci,No Major,,
36960,2023,35,No Major,No Major,,
35953,2023,37,No Major,No Major,,
35731,2022,17,Economics,No Major,FB,M
32503,2020,5,CivEngr,No Major,,
31732,2020,25,Biology,No Major,,
35954,2023,8,No Major,No Major,,
35491,2022,9,No Major,No Major,,
37148,2021,24,No Major,No Major,,
33315,2021,36,MechEngr,No Major,,
33316,2021,26,AeroEngr,No Major,,
36589,2023,18,No Major,No Major,,
35492,2022,26,SocSci,No Major,VB,F
33317,2021,29,Management,No Major,FB,M
33318,2021,39,Management,No Major,,
35955,2023,31,No Major,No Major,FB,M
35956,2023,9,No Major,No Major,,
31735,2020,6,Biology,No Major,,
35957,2023,19,No Major,No Major,,
31736,2020,20,CompSci,No Major,,
33009,2020,35,Economics,No Major,,
34540,2022,21,ElCompEngr,No Major,,
35958,2023,35,No Major,No Major,SW,F
37162,2021,40,No Major,No Major,,
34238,2021,30,Management,Economics,,
35959,2023,29,No Major,No Major,,
36590,2023,39,No Major,No Major,,
32739,2020,30,BehSci,No Major,,
32020,2020,6,BehSci,No Major,,
33320,2021,35,Management,No Major,,
35960,2023,6,No Major,No Major,,
33321,2021,29,MSS,No Major,WP,M
35961,2023,16,No Major,No Major,,
35962,2023,20,No Major,No Major,FB,M
33322,2021,27,CivEngr,No Major,,
34544,2022,32,FAS-MSS,No Major,,
33323,2021,36,FAS-PolSci,PolSci,,
35342,2022,20,Biology,No Major,,
32022,2020,16,Biology,No Major,,
35493,2022,36,No Major,No Major,FB,M
33324,2021,7,Biology,No Major,,
36962,2023,32,No Major,No Major,SO,M
32023,2020,35,FAS-PolSci,No Major,,
34239,2021,35,BehSci,No Major,,
34240,2021,39,PolSci,No Major,,
34545,2022,31,No Major,No Major,,
35964,2023,16,No Major,No Major,,
33326,2021,21,Management,No Major,,
33327,2021,1,CyberSci,No Major,,
34546,2022,3,No Major,No Major,,
34724,2022,13,No Major,No Major,SW,F
33328,2021,17,PolSci,No Major,,
35965,2023,40,No Major,No Major,,
33329,2021,25,PolSci,No Major,,
33330,2021,10,Management,No Major,BA,M
33331,2021,28,FAS-PolSci,PolSci,,
36963,2023,14,No Major,No Major,SO,M
33332,2021,20,CivEngr,No Major,GY,M
32178,2020,32,SysEngr,No Major,,
35966,2023,27,No Major,No Major,FB,M
36964,2023,23,No Major,No Major,,
35967,2023,37,No Major,No Major,,
37191,2020,32,No Major,No Major,,
33334,2021,37,AeroEngr,No Major,,
33335,2021,32,FAS-PolSci,No Major,,
36669,2023,26,No Major,No Major,,
35968,2023,23,No Major,No Major,,
34725,2022,4,No Major,No Major,,
36965,2023,6,No Major,No Major,,
32024,2020,39,GeoSci,No Major,,
34241,2021,20,Management,No Major,,
32740,2020,40,GenStu-EO,No Major,,
34726,2022,9,Management,No Major,,
36966,2023,11,No Major,No Major,,
32025,2020,8,HistoryMil,No Major,,
35969,2023,33,No Major,No Major,,
36670,2023,4,No Major,No Major,,
33336,2021,27,SysEngr,No Major,,
33337,2021,6,FAS-PolSci,No Major,,
33338,2021,25,FAS-PolSci,No Major,GY,F
